Borough,Neighborhood,Latitude,Longitude
Scarborough,Agincourt and Brimwood,0.0,0.0
Scarborough,Agincourt and Malvern,0.0,0.0
Etobicoke,Alderwood,0.0,0.0
Old City of Toronto,The Annex and Seaton Village,0.0,0.0
North York,Don Mills,0.0,0.0
North York,Bathurst Manor,0.0,0.0
Old City of Toronto,"Bay Street, Financial District",0.0,0.0
North York,Bayview Village,0.0,0.0
North York,Bayview Woods,0.0,0.0
North York,"Bedford Park, Ledbury Park, and Nortown",0.0,0.0
York,Keelesdale and Silverthorn,0.0,0.0
Scarborough,Bendale,0.0,0.0
Scarborough,Birch Cliff and Cliffside,0.0,0.0
North York,Jane and Finch,0.0,0.0
Old City of Toronto,The Pocket and Riverdale,0.0,0.0
York,Fairbank,0.0,0.0
North York,The Bridle Path and York Mills,0.0,0.0
East York,Old East York,0.0,0.0
North York,Amesbury,0.0,0.0
Old City of Toronto,Cabbagetown and St. James Town,0.0,0.0
York,Fairbank and Cedarvale,0.0,0.0
Old City of Toronto,"Casa Loma, and Wychwood",0.0,0.0
Scarborough,Port Union and Centennial,0.0,0.0
Old City of Toronto,Church and Wellesley and Ryerson University,0.0,0.0
Scarborough,Clairlea,0.0,0.0
North York,Wilson Heights,0.0,0.0
Scarborough,Cliffside,0.0,0.0
Old City of Toronto,"Corso Italia, Davenport, Earlscourt, and Regal Heights",0.0,0.0
East York,Crescent Town,0.0,0.0
East York,"Old East York, The Danforth",0.0,0.0
Old City of Toronto,The Danforth,0.0,0.0
North York,"Don Valley Village, The Peanut",0.0,0.0
Scarborough,Dorset Park,0.0,0.0
Old City of Toronto,"Dovercourt Park, Wallace Emerson, Junction Triangle and Davenport",0.0,0.0
North York,Downsview,0.0,0.0
Old City of Toronto,Brockton and Dufferin Grove,0.0,0.0
Old City of Toronto,"Upper Beaches, East Danforth",0.0,0.0
Etobicoke,Humber Valley,0.0,0.0
Scarborough,Eglinton East,0.0,0.0
Etobicoke,The Elms and Rexdale,0.0,0.0
North York,Lawrence Manor and Glen Park,0.0,0.0
Etobicoke,Centennial Park and West Deane Park,0.0,0.0
Etobicoke,Centennial Park and Eatonville,0.0,0.0
North York,Flemingdon Park,0.0,0.0
Old City of Toronto,Forest Hill,0.0,0.0
Old City of Toronto,Forest Hill,0.0,0.0
North York,Jane and Finch,0.0,0.0
Old City of Toronto,Leslieville,0.0,0.0
Scarborough,Guildwood,0.0,0.0
North York,Henry Farm,0.0,0.0
Old City of Toronto,"High Park North, West Bend",0.0,0.0
Old City of Toronto,"High Park, Roncesvalles and Swansea",0.0,0.0
Scarborough,Highland Creek,0.0,0.0
North York,Hillcrest Village,0.0,0.0
Etobicoke,Humber Heights-Westmount,0.0,0.0
North York,Humber Summit,0.0,0.0
North York,Humbermede and Emery,0.0,0.0
York,Cedarvale and Humewood,0.0,0.0
Scarborough,Ionview,0.0,0.0
Etobicoke,Islington-Six Points,0.0,0.0
Old City of Toronto,The Junction,0.0,0.0
York,Keelesdale and Silverthorn,0.0,0.0
Scarborough,Scarborough Junction,0.0,0.0
Old City of Toronto,"Alexandra Park, Chinatown, Grange Park, Kensington Market",0.0,0.0
Etobicoke,Kingsview Village and Richview,0.0,0.0
Etobicoke,The Kingsway,0.0,0.0
Scarborough,"L'Amoreaux, Leacock, and Bridlewood",0.0,0.0
York,Baby Point and Old Mill,0.0,0.0
North York,Lansing,0.0,0.0
Old City of Toronto,"Bedford Park, Teddington Park, and Wanless Park",0.0,0.0
Old City of Toronto,"Lawrence Park, Lytton Park, North Toronto",0.0,0.0
East York,Leaside,0.0,0.0
Old City of Toronto,Little Portugal and Brockton,0.0,0.0
Etobicoke,Long Branch,0.0,0.0
Scarborough,Malvern,0.0,0.0
Etobicoke,Markland Wood,0.0,0.0
Scarborough,Milliken,0.0,0.0
Etobicoke,Mimico,0.0,0.0
Scarborough,Morningside,0.0,0.0
Old City of Toronto,"Moss Park, Corktown and Garden District",0.0,0.0
York,Mount Dennis,0.0,0.0
Etobicoke,Smithfield,0.0,0.0
Old City of Toronto,"Davisville Village, North Toronto",0.0,0.0
Old City of Toronto,"Davisville Village, North Toronto",0.0,0.0
Etobicoke,New Toronto,0.0,0.0
North York,Newtonbrook,0.0,0.0
North York,Newtonbrook,0.0,0.0
Old City of Toronto,"Niagara, Liberty Village, Exhibition Place",0.0,0.0
Old City of Toronto,Riverdale,0.0,0.0
Old City of Toronto,St. James Town,0.0,0.0
East York,"Parkview Hills, Topham Park",0.0,0.0
Scarborough,Oakridge,0.0,0.0
York,Oakwood Village,0.0,0.0
East York,Old East York,0.0,0.0
Old City of Toronto,Little Italy and Palmerston,0.0,0.0
North York,Parkwoods,0.0,0.0
North York,Humberlea,0.0,0.0
Old City of Toronto,Playter Estates and Greektown,0.0,0.0
North York,Pleasant View,0.0,0.0
Etobicoke,"Princess Anne Manor, Thorncrest Village, and Princess Margaret",0.0,0.0
Old City of Toronto,"Regent Park, Trefann Court",0.0,0.0
Etobicoke,Rexdale,0.0,0.0
York,"Harwood, Syme",0.0,0.0
Old City of Toronto,Roncesvalles,0.0,0.0
Old City of Toronto,Rosedale and Moore Park,0.0,0.0
Scarborough,"West Rouge, Rouge Park",0.0,0.0
Old City of Toronto,Runnymede-Bloor West Village,0.0,0.0
Old City of Toronto,"Parkdale, South Parkdale",0.0,0.0
North York,York Mills and Hoggs Hollow,0.0,0.0
Etobicoke,"Humber Bay, Queensway",0.0,0.0
Old City of Toronto,"The Beach/Beaches, Beaches North",0.0,0.0
Old City of Toronto,"Distillery District, Old Town, St. Lawrence",0.0,0.0
Old City of Toronto,"Carlton, Davenport, St. Clair Gardens",0.0,0.0
Old City of Toronto,Chaplin Estates,0.0,0.0
North York,"Glen Park, Lawrence Heights",0.0,0.0
